Package,City,Place Tourism1,Place Tourism2,Place Tourism3,Place Tourism4,Place Tourism5,Place Tourism6,Place Tourism7,Place Tourism8
18,Jakarta,Museum Macan (Modern and Contemporary Art in Nusantara),Hutan Kota Srengseng,Taman Lapangan Banteng,Museum Seni Rupa dan Kramik,,Museum Seni Rupa dan Kramik,,
19,Semarang,Masjid Agung Ungaran,Water Blaster Bukit Candi Golf,Taman Srigunting,Semarang Contemporary Art Gallery,Kampung Tematik Jawi,Semarang Contemporary Art Gallery,Kampung Tematik Jawi,Kampung Tematik Jawi
20,Semarang,Indonesia Kaya Park,Wisata Mangrove Tapak,Candi Gedong Songo,Obyek Wisata Goa Kreo,,Obyek Wisata Goa Kreo,,
21,Semarang,Tirto Argo Siwarak,Grand Maerakaca,GPIB Immanuel Semarang (Gereja Blenduk),,,,,
22,Jakarta,Pulau Pari,Museum Bahari Jakarta,Museum Basoeki Abdullah,Jakarta Aquarium dan Safari,,Jakarta Aquarium dan Safari,,
23,Yogyakarta,Wisata Kaliurang,Tebing Breksi,Bukit Lintang Sewu,,,,,
24,Jakarta,Bumi Perkemahan Cibubur,Hutan Kota Srengseng,Waterboom PIK (Pantai Indah Kapuk),Museum Sumpah Pemuda,Pulau Pramuka,Museum Sumpah Pemuda,Pulau Pramuka,Pulau Pramuka
25,Semarang,Taman Tabanas,Pura Giri Natha,Tugu Muda Semarang,Air Terjun Semirang,Old City 3D Trick Art Museum,Air Terjun Semirang,Old City 3D Trick Art Museum,Old City 3D Trick Art Museum
26,Semarang,Kampoeng Djadhoel Semarang,Saloka Theme Park,Tugu Muda Semarang,Waduk Jatibarang,Kampoeng Kopi Banaran,Waduk Jatibarang,Kampoeng Kopi Banaran,Kampoeng Kopi Banaran
27,Surabaya,Taman Pelangi,Taman Harmoni Keputih,Taman Kunang-Kunang,Pantai Ria Kenjeran,,Pantai Ria Kenjeran,,
28,Surabaya,Monumen Bambu Runcing Surabaya,Kebun Binatang Surabaya,Rumah Batik,Taman Harmoni Keputih,,Taman Harmoni Keputih,,
29,Jakarta,Taman Ayodya,Museum Nasional,Bumi Perkemahan Cibubur,Hutan Kota Srengseng,,Hutan Kota Srengseng,,
30,Yogyakarta,Pasar Kebon Empring Bintaran,Candi Borobudur,Candi Ijo,,,,,
31,Yogyakarta,Pantai Jogan,Puncak Gunung Api Purba - Nglanggeran,Bukit Paralayang,,,,,
32,Bandung,Masjid Raya Bandung,NuArt Sculpture Park,Gua Pawon,Jendela Alam,Museum Pos Indonesia,Jendela Alam,Museum Pos Indonesia,Museum Pos Indonesia
33,Semarang,Umbul Sidomukti,Semarang Contemporary Art Gallery,Semarang Gallery,Gua Maria Kerep Ambarawa,Kota Lama Semarang,Gua Maria Kerep Ambarawa,Kota Lama Semarang,Kota Lama Semarang
34,Semarang,Air Terjun Semirang,Jembatan Biru Ambarawa,Semarang Gallery,Waduk Jatibarang,Pura Giri Natha,Waduk Jatibarang,Pura Giri Natha,Pura Giri Natha
35,Semarang,Wisata Eling Bening,Pura Giri Natha,Saloka Theme Park,Taman Pandanaran,Air Terjun Semirang,Taman Pandanaran,Air Terjun Semirang,Air Terjun Semirang
36,Surabaya,Hutan Pinus Kayon,Hutan Bambu Keputih,Museum Mpu Tantular,Taman Barunawati,,Taman Barunawati,,
37,Surabaya,Masjid Muhammad Cheng Hoo,Air Mancur Menari,Surabaya Museum (Gedung Siola),Hutan Pinus Kayon,,Hutan Pinus Kayon,,
38,Bandung,Chingu Cafe Little Seoul,Taman Balai Kota Bandung,| Peta Park,Monumen Bandung Lautan Api,Gereja Katedral Santo Petrus Bandung,Monumen Bandung Lautan Api,Gereja Katedral Santo Petrus Bandung,Gereja Katedral Santo Petrus Bandung
39,Jakarta,Gereja Katedral,Museum Taman Prasasti,Museum Nasional,Museum Seni Rupa dan Kramik,,Museum Seni Rupa dan Kramik,,
40,Surabaya,Atlantis Land Surabaya,Museum Sepuluh Nopember Kota Surabaya,Hutan Bambu Keputih,Taman Mundu,,Taman Mundu,,
41,Jakarta,Pulau Tidung,Taman Cattleya,Monas,Bumi Perkemahan Cibubur,,Bumi Perkemahan Cibubur,,
42,Surabaya,Kebun Bibit Wonorejo,Monumen Kapal Selam,Kebun Bibit Wonorejo,Food Junction Grand Pakuwon,,Food Junction Grand Pakuwon,,
43,Surabaya,Pantai Ria Kenjeran,Taman Hiburan Rakyat,Ciputra Waterpark,Kenjeran Park,,Kenjeran Park,,
44,Jakarta,Jakarta Aquarium dan Safari,Museum Sumpah Pemuda,SnowBay Waterpark,Pasar Seni,,Pasar Seni,,
45,Yogyakarta,Gembira Loka Zoo,Bukit Paralayang,,,,,,
46,Yogyakarta,De Mata Museum Jogja,Desa Wisata Sungai Code Jogja Kota,Nol Kilometer Jl.Malioboro,,,,,
47,Jakarta,Monas,Plaza Indonesia,Museum Joang 45,Pulau Pelangi,,Pulau Pelangi,,
48,Semarang,Brown Canyon,Durian Gardens and Tourism Education Watu Simbar,Old City 3D Trick Art Museum,Semarang Contemporary Art Gallery,Taman Srigunting,Semarang Contemporary Art Gallery,Taman Srigunting,Taman Srigunting
49,Surabaya,Masjid Nasional Al-Akbar,Taman Harmoni Keputih,Museum De Javasche Bank,Taman Harmoni Keputih,,Taman Harmoni Keputih,,
50,Semarang,Kampung Pelangi,Indonesia Kaya Park,Jembatan Biru Ambarawa,Air Terjun Semirang,Pantai Baruna,Air Terjun Semirang,Pantai Baruna,Pantai Baruna
51,Yogyakarta,Tebing Breksi,Watu Lumbung,Kampung Wisata Kadipaten,,,,,
52,Jakarta,Museum Tekstil,Museum Satria Mandala,Museum Joang 45,Taman Ayodya,,Taman Ayodya,,
53,Surabaya,Patung Sura dan Buaya,Kebun Bibit Wonorejo,Kebun Bibit Wonorejo,Taman Kunang-Kunang,,Taman Kunang-Kunang,,
54,Semarang,Pantai Baruna,Kampoeng Djadhoel Semarang,Benteng Pendem,Lawang Sewu,Jembatan Biru Ambarawa,Lawang Sewu,Jembatan Biru Ambarawa,Jembatan Biru Ambarawa
55,Surabaya,Hutan Bambu Keputih,Hutan Bambu Keputih,Keraton Surabaya,Taman Kunang-Kunang,,Taman Kunang-Kunang,,
56,Bandung,Gereja Katedral Santo Petrus Bandung,Kiara Artha Park,Gereja Katedral Santo Petrus Bandung,Gunung Papandayan,,Gunung Papandayan,,
57,Semarang,Taman Kasmaran,Pura Giri Natha,Kampoeng Djadhoel Semarang,Kampung Pelangi,,Kampung Pelangi,,
58,Jakarta,Taman Suropati,Jakarta Aquarium dan Safari,Jembatan Kota Intan,Klenteng Jin De Yuan,,Klenteng Jin De Yuan,,
59,Surabaya,Patung Buddha Empat Rupa,Food Junction Grand Pakuwon,Taman Harmoni Keputih,Taman Prestasi,,Taman Prestasi,,
60,Semarang,Candi Gedong Songo,Taman Pandanaran,Watu Gunung Ungaran,Jembatan Biru Ambarawa,Taman Kasmaran,Jembatan Biru Ambarawa,Taman Kasmaran,Taman Kasmaran
61,Surabaya,Air Mancur Menari,Monumen Jalesveva Jayamahe,Kampoeng Rawa,Kebun Binatang Surabaya,Klenteng Sanggar Agung,Kebun Binatang Surabaya,Klenteng Sanggar Agung,Klenteng Sanggar Agung
62,Yogyakarta,The World Landmarks - Merapi Park Yogyakarta,Pantai Drini,De Mata Museum Jogja,,,,,
63,Surabaya,Jembatan Merah,Ekowisata Mangrove Wonorejo,Masjid Kapal Semarang,Taman Prestasi,,Taman Prestasi,,
64,Surabaya,Museum Kesehatan Dr. Adhyatma,Atlantis Land Surabaya,Hutan Bambu Keputih,Museum De Javasche Bank,,Museum De Javasche Bank,,
65,Bandung,Museum Sri Baduga,Curug Dago,Teras Cikapundung BBWS,Gunung Manglayang,Gereja Katedral Santo Petrus Bandung,Gunung Manglayang,Gereja Katedral Santo Petrus Bandung,Gereja Katedral Santo Petrus Bandung
66,Jakarta,Pulau Pramuka,Galeri Nasional Indonesia,Alive Museum Ancol,Museum Nasional,,Museum Nasional,,
67,Yogyakarta,Nol Kilometer Jl.Malioboro,Pantai Samas,Hutan Mangrove Kulon Progo,Pantai Patihan,,Pantai Patihan,,
68,Surabaya,Monumen Bambu Runcing Surabaya,Gereja Perawan Maria Tak Berdosa Surabaya,Rumah Batik,Kebun Binatang Surabaya,,Kebun Binatang Surabaya,,
69,Semarang,Durian Gardens and Tourism Education Watu Simbar,Semarang Chinatown,Wisata Alam Wana Wisata Penggaron,,,,,
70,Surabaya,Waterpark Kenjeran Surabaya,Atlantis Land Surabaya,Jembatan Merah,House of Sampoerna,,House of Sampoerna,,
71,Bandung,Kebun Binatang Bandung,Kawasan Punclut,Chingu Cafe Little Seoul,Museum Konferensi Asia Afrika,| Peta Park,Museum Konferensi Asia Afrika,| Peta Park,| Peta Park
72,Semarang,Old City 3D Trick Art Museum,Benteng Pendem,GPIB Immanuel Semarang (Gereja Blenduk),Semarang Contemporary Art Gallery,Old City 3D Trick Art Museum,Semarang Contemporary Art Gallery,Old City 3D Trick Art Museum,Old City 3D Trick Art Museum
73,Semarang,Wisata Alam Wana Wisata Penggaron,Wisata Mangrove Tapak,Masjid Agung Ungaran,Desa Wisata Lembah Kalipancur,Watu Gunung Ungaran,Desa Wisata Lembah Kalipancur,Watu Gunung Ungaran,Watu Gunung Ungaran
74,Surabaya,Balai Kota Surabaya,Hutan Pinus Kayon,Taman Bungkul,Patung Sura dan Buaya,,Patung Sura dan Buaya,,
75,Jakarta,Pulau Bidadari,Museum Sumpah Pemuda,Taman Suropati,Museum Sumpah Pemuda,,Museum Sumpah Pemuda,,
76,Semarang,Water Blaster Bukit Candi Golf,Taman Tabanas,Pantai Marina,Wisata Alam Wana Wisata Penggaron,Durian Gardens and Tourism Education Watu Simbar,Wisata Alam Wana Wisata Penggaron,Durian Gardens and Tourism Education Watu Simbar,Durian Gardens and Tourism Education Watu Simbar
77,Surabaya,Monumen Kapal Selam,| Food Junction Grand Pakuwon,Kebun Bibit Wonorejo,Surabaya North Quay,Pantai Ria Kenjeran,Surabaya North Quay,Pantai Ria Kenjeran,Pantai Ria Kenjeran
78,Jakarta,Wisata Kuliner Pecenongan,Pulau Pelangi,Galeri Nasional Indonesia,Galeri Nasional Indonesia,,Galeri Nasional Indonesia,,
79,Bandung,Gunung Papandayan,Curug Malela,Alun-Alun Kota Bandung,Museum Pos Indonesia,Alun-Alun Kota Bandung,Museum Pos Indonesia,Alun-Alun Kota Bandung,Alun-Alun Kota Bandung
80,Surabaya,Monumen Jalesveva Jayamahe,Ciputra Waterpark,Food Junction Grand Pakuwon,Taman Bungkul,Surabaya North Quay,Taman Bungkul,Surabaya North Quay,Surabaya North Quay
81,Semarang,Wisata Mangrove Tapak,Taman Srigunting,Pantai Baruna,Kampung Pelangi,GPIB Immanuel Semarang (Gereja Blenduk),Kampung Pelangi,GPIB Immanuel Semarang (Gereja Blenduk),GPIB Immanuel Semarang (Gereja Blenduk)
82,Jakarta,Pasar Petak Sembilan,Pulau Tidung,Pasar Tanah Abang,Ocean Ecopark,,Ocean Ecopark,,
83,Semarang,Taman Kasmaran,Water Blaster Bukit Candi Golf,Hutan Wisata Tinjomoyo Semarang,Pantai Baruna,Wisata Mangrove Tapak,Pantai Baruna,Wisata Mangrove Tapak,Wisata Mangrove Tapak
84,Semarang,Waduk Jatibarang,Lawang Sewu,Air Terjun Semirang,Kampung Pelangi,Semarang Chinatown,Kampung Pelangi,Semarang Chinatown,Semarang Chinatown
85,Semarang,Durian Gardens and Tourism Education Watu Simbar,Desa Wisata Lembah Kalipancur,Hutan Wisata Tinjomoyo Semarang,,,,,
86,Semarang,Lawang Sewu,Benteng Pendem,Desa Wisata Lembah Kalipancur,,,,,
87,Semarang,Taman Srigunting,Pantai Baruna,Hutan Wisata Tinjomoyo Semarang,Old City 3D Trick Art Museum,Water Blaster Bukit Candi Golf,Old City 3D Trick Art Museum,Water Blaster Bukit Candi Golf,Water Blaster Bukit Candi Golf
88,Yogyakarta,Pantai Patihan,Galaxy Waterpark Jogja,Bukit Lintang Sewu,,,,,
89,Semarang,Taman Tabanas,Kampoeng Djadhoel Semarang,Museum Kereta Ambarawa,,,,,
90,Surabaya,Waterpark Kenjeran Surabaya,Kebun Bibit Wonorejo,Monumen Kapal Selam,Kebun Bibit Wonorejo,,Kebun Bibit Wonorejo,,
91,Surabaya,Taman Hiburan Rakyat,Food Junction Grand Pakuwon,Hutan Bambu Keputih,Monumen Kapal Selam,,Monumen Kapal Selam,,
92,Surabaya,Masjid Kapal Semarang,Hutan Bambu Keputih,Ekowisata Mangrove Wonorejo,Taman Mundu,,Taman Mundu,,
93,Surabaya,Taman Pelangi,Taman Mundu,Taman Prestasi,Kampoeng Rawa,Masjid Nasional Al-Akbar,Kampoeng Rawa,Masjid Nasional Al-Akbar,Masjid Nasional Al-Akbar
94,Bandung,Chingu Cafe Little Seoul,Kebun Binatang Bandung, Panama Park 825,Museum Sri Baduga, Panama Park 825,Museum Sri Baduga, Panama Park 825, Panama Park 825
95,Jakarta,Perpustakaan Nasional,Museum Nasional,Museum Fatahillah,Museum Sumpah Pemuda,,Museum Sumpah Pemuda,,
96,Surabaya,Atlantis Land Surabaya,Museum TNI AL Loka Jala Crana,Monumen Bambu Runcing Surabaya,Taman Barunawati,,Taman Barunawati,,
97,Semarang,Taman Pandanaran,Obyek Wisata Goa Kreo,Kampung Tematik Jawi,Semarang Chinatown,Semarang Chinatown,Semarang Chinatown,Semarang Chinatown,Semarang Chinatown
98,Semarang,Grand Maerakaca,Museum Kereta Ambarawa,Pura Giri Natha,Desa Wisata Lembah Kalipancur,Wisata Mangrove Tapak,Desa Wisata Lembah Kalipancur,Wisata Mangrove Tapak,Wisata Mangrove Tapak
99,Semarang,Taman Srigunting,Pantai Baruna,Pantai Cipta,,,,,
100,Bandung,Museum Konferensi Asia Afrika,Curug Aseupan,Kota Mini,Lawangwangi Creative Space,NuArt Sculpture Park,Desa Wisata Lembah Kalipancur,Taman Barunawati,Taman Barunawati
101,Yogyakarta,Pantai Samas,Geoforest Watu Payung Turunan,Candi Borobudur,,,,,
102,Yogyakarta,Wisata Kaliurang,Kampung Wisata Taman Sari,De Mata Museum Jogja,,,,,
103,Yogyakarta,Pantai Kukup,Watu Lumbung,Pantai Kukup,,,,,
104,Bandung,Curug Malela,Gunung Manglayang,Curug Cipanas,Roemah Seni Sarasvati,Museum Pos Indonesia,Roemah Seni Sarasvati,Museum Pos Indonesia,Museum Pos Indonesia
105,Bandung,Monumen Bandung Lautan Api,Kawasan Punclut,Museum Geologi Bandung,Taman Budaya Jawa Barat,Orchid Forest Cikole,Taman Budaya Jawa Barat,Orchid Forest Cikole,Orchid Forest Cikole
106,Semarang,Kampoeng Djadhoel Semarang,Obyek Wisata Goa Kreo,Wisata Mangrove Tapak,Wisata Alam Wana Wisata Penggaron,Watu Gunung Ungaran,Wisata Alam Wana Wisata Penggaron,Watu Gunung Ungaran,Watu Gunung Ungaran
107,Surabaya,Monumen Bambu Runcing Surabaya,Taman Pelangi,Patung Buddha Empat Rupa,Monumen Tugu Pahlawan,,Monumen Tugu Pahlawan,,
108,Yogyakarta,Bunker Kaliadem Merapi,Pantai Sundak,Candi Ijo,,,,,
109,Yogyakarta,Candi Ijo,Monumen Serangan Umum 1 Maret,Kawasan Malioboro,,,,,
110,Jakarta,Bumi Perkemahan Cibubur,Perpustakaan Nasional,Taman Mini Indonesia Indah (TMII),Museum Joang 45,Pasar Tanah Abang,Museum Joang 45,Pasar Tanah Abang,Pasar Tanah Abang
111,Yogyakarta,Wisata Kaliurang,Monumen Sanapati,Desa Wisata Sungai Code Jogja Kota,Geoforest Watu Payung Turunan,,Geoforest Watu Payung Turunan,,
112,Jakarta,Klenteng Jin De Yuan,Ocean Ecopark,Pulau Pramuka,Taman Ayodya,,Taman Ayodya,,
113,Jakarta,Taman Mini Indonesia Indah (TMII),Klenteng Jin De Yuan,Pasar Taman Puring,Pulau Tidung,,Pulau Tidung,,
114,Semarang,Waduk Jatibarang,Kampung Pelangi,Air Terjun Semirang,Waduk Jatibarang,Watu Gunung Ungaran,Waduk Jatibarang,Watu Gunung Ungaran,Watu Gunung Ungaran
115,Semarang,Sam Poo Kong Temple,Pantai Baruna,Tugu Muda Semarang,Taman Kasmaran,Wisata Lereng Kelir,Taman Kasmaran,Wisata Lereng Kelir,Wisata Lereng Kelir
116,Surabaya,Kampoeng Rawa,Hutan Pinus Kayon,Taman Prestasi,Taman Barunawati,,Taman Barunawati,,
117,Surabaya,Patung Buddha Empat Rupa,Klenteng Sanggar Agung,Masjid Kapal Semarang,Keraton Surabaya,,Keraton Surabaya,,
118,Yogyakarta,Tugu Pal Putih Jogja,Monumen Sanapati,The World Landmarks - Merapi Park Yogyakarta,,,,,
119,Jakarta,Klenteng Jin De Yuan,Taman Cattleya,Pasar Petak Sembilan,Museum Perangko,,Museum Perangko,,
120,Yogyakarta,Watu Lumbung,Puncak Gunung Api Purba - Nglanggeran,Bunker Kaliadem Merapi,,,,,
121,Yogyakarta,Pantai Ngrenehan,Desa Wisata Sungai Code Jogja Kota,Hutan Pinus Pengger,,,,,
122,Semarang,Wisata Mangrove Tapak,Pantai Marina,Museum Kereta Ambarawa,Umbul Sidomukti,Wisata Alam Wana Wisata Penggaron,Umbul Sidomukti,Wisata Alam Wana Wisata Penggaron,Wisata Alam Wana Wisata Penggaron
123,Surabaya,Ciputra Waterpark,Monumen Tugu Pahlawan,Taman Prestasi,Gereja Perawan Maria Tak Berdosa Surabaya,Gereja Perawan Maria Tak Berdosa Surabaya,Gereja Perawan Maria Tak Berdosa Surabaya,Gereja Perawan Maria Tak Berdosa Surabaya,Gereja Perawan Maria Tak Berdosa Surabaya
124,Jakarta,Museum Macan (Modern and Contemporary Art in Nusantara),Museum Perangko,Waterboom PIK (Pantai Indah Kapuk),Museum Macan (Modern and Contemporary Art in Nusantara),,Museum Macan (Modern and Contemporary Art in Nusantara),,
125,Jakarta,Museum Joang 45,SnowBay Waterpark,Waterboom PIK (Pantai Indah Kapuk),Waterboom PIK (Pantai Indah Kapuk),,Waterboom PIK (Pantai Indah Kapuk),,
126,Semarang,Umbul Sidomukti,Candi Gedong Songo,Taman Kasmaran,Pura Giri Natha,Brown Canyon,Pura Giri Natha,Brown Canyon,Pulau Pramuka
127,Jakarta,Pasar Tanah Abang,Galeri Indonesia Kaya,Museum Nasional,Museum Bahari Jakarta,,Museum Bahari Jakarta,,
128,Bandung, Panama Park 825,Museum Mandala Wangsit Siliwangi,Caringin Tilu,,,,,
129,Jakarta,Taman Suropati,Pasar Tanah Abang,Museum Perangko,Klenteng Jin De Yuan,,Klenteng Jin De Yuan,,
130,Yogyakarta,Alun Alun Selatan Yogyakarta,Tebing Breksi,Monumen Sanapati,,,,,
131,Jakarta,Pulau Pelangi,Gereja Katedral,Museum Basoeki Abdullah,Grand Indonesia Mall,,Grand Indonesia Mall,,
132,Semarang,Museum Kereta Ambarawa,Hutan Wisata Tinjomoyo Semarang,Kampoeng Kopi Banaran,Pantai Cipta,Wisata Lereng Kelir,Pantai Cipta,Wisata Lereng Kelir,Wisata Lereng Kelir
133,Semarang,GPIB Immanuel Semarang (Gereja Blenduk),Taman Tabanas,Semarang Chinatown,Jembatan Biru Ambarawa,Watu Gunung Ungaran,Jembatan Biru Ambarawa,Watu Gunung Ungaran,Watu Gunung Ungaran
134,Yogyakarta,Monumen Sanapati,Pantai Glagah,Wisata Kalibiru,,,,,
135,Jakarta,Jakarta Aquarium dan Safari,Pulau Pari,Museum Bank Indonesia,Museum Layang-layang,,Museum Layang-layang,,
136,Surabaya,Kebun Binatang Surabaya,Air Mancur Menari,Taman Keputran,Rumah Batik,,Rumah Batik,,
137,Yogyakarta,Pantai Samas,Tebing Breksi,Gembira Loka Zoo,Bentara Budaya Yogyakarta (BBY),,Bentara Budaya Yogyakarta (BBY),,
138,Jakarta,Museum Tekstil,Galeri Indonesia Kaya,Taman Impian Jaya Ancol,Gereja Katedral,,Gereja Katedral,,
139,Yogyakarta,Geoforest Watu Payung Turunan,Pasar Kebon Empring Bintaran,Pantai Samas,Watu Goyang,,Watu Goyang,,
140,Yogyakarta,Bendung Lepen,Candi Borobudur,Bukit Paralayang,,,,,
141,Jakarta,Kota Tua,Pulau Bidadari,Pasar Seni,Museum Sumpah Pemuda,,Museum Sumpah Pemuda,,
142,Bandung,Gunung Manglayang,Glamping Lakeside Rancabali,Gunung Manglayang,Tafso Barn,Curug Aseupan,Tafso Barn,Curug Aseupan,Curug Aseupan
143,Bandung,Gunung Tangkuban Perahu,Museum Mandala Wangsit Siliwangi,Taman Miniatur Kereta Api,Museum Mandala Wangsit Siliwangi,Taman Begonia,Museum Mandala Wangsit Siliwangi,Taman Begonia,Taman Begonia
144,Bandung,Stone Garden Geopark,Tebing Karaton,Kawasan Punclut,Taman Begonia,Taman Hutan Raya Ir. H. Djuanda,Taman Begonia,Taman Hutan Raya Ir. H. Djuanda,Taman Hutan Raya Ir. H. Djuanda
145,Semarang,Taman Srigunting,Kampoeng Djadhoel Semarang,Semarang Chinatown,Semarang Chinatown,Pantai Cipta,Semarang Chinatown,Pantai Cipta,Pantai Cipta
146,Jakarta,Museum Perangko,Alive Museum Ancol,Bumi Perkemahan Cibubur,Freedom Library,,Freedom Library,,
147,Jakarta,Waterboom PIK (Pantai Indah Kapuk),Masjid Istiqlal,Taman Cattleya,Museum Perangko,,Museum Perangko,,
148,Yogyakarta,Pantai Depok Jogja,Pasar Beringharjo,Pantai Indrayanti,,,,,
149,Yogyakarta,Alun Alun Selatan Yogyakarta,Watu Goyang,Desa Wisata Sungai Code Jogja Kota,,,,,
150,Jakarta,Ocean Ecopark,Grand Indonesia Mall,Museum Fatahillah,Galeri Nasional Indonesia,,Galeri Nasional Indonesia,,
151,Semarang,Saloka Theme Park,Kampoeng Kopi Banaran,Brown Canyon,Candi Gedong Songo,Kampung Pelangi,Candi Gedong Songo,Kampung Pelangi,Kampung Pelangi
152,Surabaya,Kenjeran Park,Museum De Javasche Bank,Keraton Surabaya,Ekowisata Mangrove Wonorejo,,Ekowisata Mangrove Wonorejo,,
153,Bandung,Curug Dago,Museum Pos Indonesia,Curug Dago,NuArt Sculpture Park,NuArt Sculpture Park,NuArt Sculpture Park,NuArt Sculpture Park,NuArt Sculpture Park
154,Jakarta,Galeri Nasional Indonesia,Pulau Pramuka,Taman Spathodea,Museum Perangko,Museum Wayang,Museum Perangko,Museum Wayang,Museum Wayang
155,Semarang,Candi Gedong Songo,Saloka Theme Park,Pura Giri Natha,Brown Canyon,Tugu Muda Semarang,Brown Canyon,Tugu Muda Semarang,Tugu Muda Semarang
156,Surabaya,Masjid Kapal Semarang,Gereja Perawan Maria Tak Berdosa Surabaya,Masjid Muhammad Cheng Hoo,House of Sampoerna,,House of Sampoerna,,
157,Surabaya,Pantai Ria Kenjeran,Hutan Pinus Kayon,Patung Sura dan Buaya,Taman Pelangi,,Taman Pelangi,,
158,Bandung,Gereja Katedral Santo Petrus Bandung,Taman Miniatur Kereta Api, Panama Park 825,Curug Aseupan,Teras Cikapundung BBWS,Curug Aseupan,Teras Cikapundung BBWS,Teras Cikapundung BBWS
159,Semarang,Sam Poo Kong Temple,La Kana Chapel,Semarang Chinatown,Saloka Theme Park,Pantai Marina,Saloka Theme Park,Pantai Marina,Pantai Marina
160,Bandung,Museum Gedung Sate,Alun-Alun Kota Bandung,Lembang Park & Zoo,Taman Film,Taman Budaya Jawa Barat,Taman Film,Taman Budaya Jawa Barat,Taman Budaya Jawa Barat
161,Semarang,Indonesia Kaya Park,Tugu Muda Semarang,Wisata Alam Wana Wisata Penggaron,Hutan Wisata Tinjomoyo Semarang,Hutan Wisata Tinjomoyo Semarang,Hutan Wisata Tinjomoyo Semarang,Hutan Wisata Tinjomoyo Semarang,Hutan Wisata Tinjomoyo Semarang
162,Yogyakarta,Kebun Teh Nglinggo,Kampung Wisata Kadipaten,Pantai Nguluran,,,,,
163,Yogyakarta,Puncak Kebun Buah Mangunan,Kawasan Wisata Sosrowijayan,Candi Ijo,,,,,
164,Semarang,Umbul Sidomukti,Grand Maerakaca,Candi Gedong Songo,Waduk Jatibarang,Taman Srigunting,Waduk Jatibarang,Taman Srigunting,Taman Srigunting
165,Bandung,Taman Begonia,Gunung Tangkuban Perahu,Gunung Tangkuban Perahu,Rainbow Garden,Jendela Alam,Rainbow Garden,Jendela Alam,Jendela Alam
166,Bandung,Tebing Karaton,Museum Geologi Bandung,Taman Sejarah Bandung,Stone Garden Geopark,NuArt Sculpture Park,Stone Garden Geopark,NuArt Sculpture Park,NuArt Sculpture Park
167,Semarang,Brown Canyon,Tugu Muda Semarang,Desa Wisata Lembah Kalipancur,Saloka Theme Park,Wisata Mangrove Tapak,Saloka Theme Park,Wisata Mangrove Tapak,Wisata Mangrove Tapak
168,Semarang,Wisata Eling Bening,La Kana Chapel,Watu Gunung Ungaran,Brown Canyon,Waduk Jatibarang,Brown Canyon,Waduk Jatibarang,Waduk Jatibarang
